"","text","n","book","tf","idf","tf_idf"
"1","clock_gettime",205519,"benign",0.372703235961903,0,0
"2","futex",88169,"benign",0.159892134603248,0,0
"3","gettimeofday",42017,"benign",0.0761967110846747,0,0
"4","epoll_wait",29845,"benign",0.0541231130809462,0,0
"5","read",23002,"benign",0.0417135147290308,0,0
"6","mprotect",18567,"benign",0.0336707602805806,0,0
"7","ioctl",15928,"benign",0.0288850040259109,0,0
"8","write",14267,"benign",0.0258728247386785,0,0
"9","madvise",10077,"benign",0.0182743712687785,0,0
"10","mmap2",9875,"benign",0.0179080496456473,0,0
"11","getuid32",9772,"benign",0.017721261887318,0,0
"12","getpid",9708,"benign",0.0176051995908804,0,0
"13","open",5803,"benign",0.0105235860348042,0,0
"14","close",5641,"benign",0.0102298033469465,0,0
"15","fcntl64",5626,"benign",0.0102026012462189,0,0
"16","sigprocmask",5418,"benign",0.00982539878279667,0,0
"17","gettid",5351,"benign",0.00970389606621354,0,0
"18","brk",5044,"benign",0.00914715973798937,0,0
"19","fstat64",4889,"benign",0.00886607136380452,0,0
"20","munmap",4658,"benign",0.00844715901260001,0,0
"21","recvfrom",4396,"benign",0.00797202898655854,0,0
"22","lseek",3190,"benign",0.00578498008806227,0,0
"23","stat64",2131,"benign",0.00386451177669614,0,0
"24","_llseek",2042,"benign",0.00370311264571259,0,0
"25","writev",1819,"benign",0.00329870808156278,0,0
"26","access",1736,"benign",0.00314818979087025,0,0
"27","pread64",1400,"benign",0.00253886273457278,0,0
"28","sigaltstack",1093,"benign",0.00198212640634861,0,0
"29","sched_setscheduler",951,"benign",0.00172461318612765,0,0
"30","clone",938,"benign",0.00170103803216376,0,0
"31","prctl",894,"benign",0.0016212452033629,0,0
"32","set_thread_area",850,"benign",0.00154145237456205,0,0
"33","pwrite64",787,"benign",0.00142720355150627,0,0
"34","epoll_ctl",618,"benign",0.0011207265499757,0,0
"35","fdatasync",616,"benign",0.00111709960321202,0,0
"36","setpriority",588,"benign",0.00106632234852057,0,0
"37","lstat64",498,"benign",0.000903109744155175,0,0
"38","getpriority",445,"benign",0.000806995654917777,0,0
"39","socket",413,"benign",0.000748964506698971,0,0
"40","getdents64",410,"benign",0.000743524086553458,0,0
"41","setsockopt",397,"benign",0.000719948932589567,0,0
"42","dup",383,"benign",0.00069456030524384,0,0
"43","umask",368,"benign",0.000667358204516274,0,0
"44","nanosleep",351,"benign",0.000636529157025033,0,0
"45","connect",295,"benign",0.000534974647642122,0,0
"46","getsockopt",295,"benign",0.000534974647642122,0,0
"47","restart_syscall",255,"benign",0.000462435712368614,0,0
"48","getegid32",244,"benign",0.000442487505168399,0,0
"49","geteuid32",244,"benign",0.000442487505168399,0,0
"50","getgid32",244,"benign",0.000442487505168399,0,0
"51","_exit",243,"benign",0.000440674031786561,0,0
"52","mkdir",206,"benign",0.000373575516658566,0,0
"53","recvmsg",205,"benign",0.000371762043276729,0,0
"54","chmod",203,"benign",0.000368135096513053,0,0
"55","unlink",203,"benign",0.000368135096513053,0,0
"56","getsockname",200,"benign",0.00036269467636754,0,0
"57","sigaction",192,"benign",0.000348186889312839,0,0
"58","fchown32",184,"benign",0.000333679102258137,0,0
"59","socketpair",180,"benign",0.000326425208730786,0,0
"60","pipe",177,"benign",0.000320984788585273,0,0
"61","epoll_create",146,"benign",0.000264767113748304,0,0
"62","fsync",124,"benign",0.000224870699347875,0,0
"63","sendmsg",107,"benign",0.000194041651856634,0,0
"64","bind",103,"benign",0.000186787758329283,0,0
"65","poll",102,"benign",0.000184974284947446,0,0
"66","rt_sigtimedwait",100,"benign",0.00018134733818377,0,0
"67","rename",81,"benign",0.000146891343928854,0,0
"68","sched_yield",76,"benign",0.000137823977019665,0,0
"69","getrlimit",65,"benign",0.000117875769819451,0,0
"70","sendto",62,"benign",0.000112435349673937,0,0
"71","ftruncate",48,"benign",8.70467223282097e-05,0,0
"72","flock",40,"benign",7.25389352735081e-05,0,0
"73","select",40,"benign",7.25389352735081e-05,0,0
"74","statfs64",36,"benign",6.52850417461573e-05,0,0
"75","wait4",31,"benign",5.62176748369687e-05,0,0
"76","execve",30,"benign",5.4404201455131e-05,0,0
