"","text","n","book"
"1","clock_gettime",205519,"benign"
"2","futex",88169,"benign"
"3","gettimeofday",42017,"benign"
"4","epoll_wait",29845,"benign"
"5","read",23002,"benign"
"6","mprotect",18567,"benign"
"7","ioctl",15928,"benign"
"8","write",14267,"benign"
"9","madvise",10077,"benign"
"10","mmap2",9875,"benign"
"11","getuid32",9772,"benign"
"12","getpid",9708,"benign"
"13","open",5803,"benign"
"14","close",5641,"benign"
"15","fcntl64",5626,"benign"
"16","sigprocmask",5418,"benign"
"17","gettid",5351,"benign"
"18","brk",5044,"benign"
"19","fstat64",4889,"benign"
"20","munmap",4658,"benign"
"21","recvfrom",4396,"benign"
"22","lseek",3190,"benign"
"23","stat64",2131,"benign"
"24","_llseek",2042,"benign"
"25","writev",1819,"benign"
"26","access",1736,"benign"
"27","pread64",1400,"benign"
"28","sigaltstack",1093,"benign"
"29","sched_setscheduler",951,"benign"
"30","clone",938,"benign"
"31","prctl",894,"benign"
"32","set_thread_area",850,"benign"
"33","pwrite64",787,"benign"
"34","epoll_ctl",618,"benign"
"35","fdatasync",616,"benign"
"36","setpriority",588,"benign"
"37","lstat64",498,"benign"
"38","getpriority",445,"benign"
"39","socket",413,"benign"
"40","getdents64",410,"benign"
"41","setsockopt",397,"benign"
"42","dup",383,"benign"
"43","umask",368,"benign"
"44","nanosleep",351,"benign"
"45","connect",295,"benign"
"46","getsockopt",295,"benign"
"47","restart_syscall",255,"benign"
"48","getegid32",244,"benign"
"49","geteuid32",244,"benign"
"50","getgid32",244,"benign"
"51","_exit",243,"benign"
"52","mkdir",206,"benign"
"53","recvmsg",205,"benign"
"54","chmod",203,"benign"
"55","unlink",203,"benign"
"56","getsockname",200,"benign"
"57","sigaction",192,"benign"
"58","fchown32",184,"benign"
"59","socketpair",180,"benign"
"60","pipe",177,"benign"
"61","epoll_create",146,"benign"
"62","fsync",124,"benign"
"63","sendmsg",107,"benign"
"64","bind",103,"benign"
"65","poll",102,"benign"
"66","rt_sigtimedwait",100,"benign"
"67","rename",81,"benign"
"68","sched_yield",76,"benign"
"69","getrlimit",65,"benign"
"70","sendto",62,"benign"
"71","ftruncate",48,"benign"
"72","flock",40,"benign"
"73","select",40,"benign"
"74","statfs64",36,"benign"
"75","wait4",31,"benign"
"76","execve",30,"benign"
"77","readlink",27,"benign"
"78","fork",24,"benign"
"79","listen",22,"benign"
"80","fchmod",21,"benign"
"81","setpgid",21,"benign"
"82","exit_group",21,"benign"
"83","msync",17,"benign"
"84","dup2",9,"benign"
"85","shutdown",6,"benign"
"86","rmdir",5,"benign"
"87","getp",1,"benign"
"88","uname",1,"benign"
"89","ftruncate64",1,"benign"
"90","accept",1,"benign"
"91","clock_gettime",47129,"malicious"
"92","futex",36903,"malicious"
"93","mprotect",11165,"malicious"
"94","read",10578,"malicious"
"95","write",8555,"malicious"
"96","epoll_wait",8424,"malicious"
"97","gettimeofday",7819,"malicious"
"98","ioctl",6153,"malicious"
"99","madvise",5480,"malicious"
"100","writev",5459,"malicious"
"101","fcntl64",5013,"malicious"
"102","mmap2",4611,"malicious"
"103","fstat64",3598,"malicious"
"104","close",3532,"malicious"
"105","sigprocmask",3336,"malicious"
"106","open",3331,"malicious"
"107","stat64",2866,"malicious"
"108","_llseek",2576,"malicious"
"109","brk",2438,"malicious"
"110","gettid",2018,"malicious"
"111","munmap",1808,"malicious"
"112","getpid",1637,"malicious"
"113","getuid32",1637,"malicious"
"114","access",1589,"malicious"
"115","pread64",1457,"malicious"
"116","lseek",1429,"malicious"
"117","pwrite64",1216,"malicious"
"118","umask",812,"malicious"
"119","recvfrom",663,"malicious"
"120","sched_setscheduler",621,"malicious"
"121","fdatasync",593,"malicious"
"122","sigaltstack",555,"malicious"
"123","clone",481,"malicious"
"124","prctl",445,"malicious"
"125","set_thread_area",430,"malicious"
"126","fchown32",406,"malicious"
"127","lstat64",330,"malicious"
"128","getpriority",263,"malicious"
"129","setpriority",256,"malicious"
"130","setsockopt",246,"malicious"
"131","getdents64",235,"malicious"
"132","nanosleep",230,"malicious"
"133","chmod",215,"malicious"
"134","epoll_ctl",215,"malicious"
"135","dup",194,"malicious"
"136","socket",193,"malicious"
"137","getsockopt",185,"malicious"
"138","restart_syscall",162,"malicious"
"139","unlink",161,"malicious"
"140","mkdir",141,"malicious"
"141","fsync",127,"malicious"
"142","_exit",125,"malicious"
"143","connect",118,"malicious"
"144","getsockname",112,"malicious"
"145","sigaction",112,"malicious"
"146","getegid32",102,"malicious"
"147","geteuid32",102,"malicious"
"148","getgid32",102,"malicious"
"149","pipe",96,"malicious"
"150","rename",92,"malicious"
"151","recvmsg",89,"malicious"
"152","socketpair",77,"malicious"
"153","bind",68,"malicious"
"154","poll",66,"malicious"
"155","sendto",63,"malicious"
"156","rt_sigtimedwait",55,"malicious"
"157","epoll_create",55,"malicious"
"158","select",44,"malicious"
"159","sendmsg",34,"malicious"
"160","getrlimit",28,"malicious"
"161","sched_yield",28,"malicious"
"162","wait4",27,"malicious"
"163","statfs64",25,"malicious"
"164","flock",24,"malicious"
"165","execve",23,"malicious"
"166","fork",19,"malicious"
"167","dup2",18,"malicious"
"168","exit_group",14,"malicious"
"169","readlink",12,"malicious"
"170","fchmod",12,"malicious"
"171","listen",10,"malicious"
"172","ftruncate",10,"malicious"
"173","msync",8,"malicious"
"174","setpgid",8,"malicious"
"175","shutdown",6,"malicious"
"176","chdir",2,"malicious"
"177","accept",1,"malicious"
